Timestamp,Event,Details
2025-05-01 18:37:23,Identity Verification,Failed
2025-05-01 18:37:52,Identity Verification,Success
2025-05-01 18:38:36,Monitoring,Started
2025-05-01 18:39:15,Violation,No face detected
2025-05-01 18:39:15,Violation,No person in frame
2025-05-01 18:39:15,Violation,No face detected
2025-05-01 18:39:15,Violation,No person in frame
2025-05-01 18:39:15,Violation,No face detected
2025-05-01 18:39:16,Violation,No person in frame
2025-05-01 18:39:16,Violation,No face detected
2025-05-01 18:39:16,Violation,No face detected
2025-05-01 18:39:16,Violation,No person in frame
2025-05-01 18:39:16,Violation,No face detected
2025-05-01 18:39:17,Violation,No person in frame
2025-05-01 18:39:17,Violation,No face detected
2025-05-01 18:39:17,Violation,No person in frame
2025-05-01 18:39:17,Violation,No face detected
2025-05-01 18:39:17,Violation,No face detected
2025-05-01 18:39:17,Violation,No person in frame
2025-05-01 18:39:17,Violation,No face detected
2025-05-01 18:39:18,Violation,No face detected
2025-05-01 18:39:18,Violation,No person in frame
2025-05-01 18:39:18,Violation,No face detected
2025-05-01 18:39:18,Violation,No person in frame
2025-05-01 18:39:18,Violation,No face detected
2025-05-01 18:39:18,Violation,No face detected
2025-05-01 18:39:19,Violation,No person in frame
2025-05-01 18:39:19,Violation,No face detected
2025-05-01 18:39:19,Violation,No person in frame
2025-05-01 18:39:19,Violation,No face detected
2025-05-01 18:39:19,Violation,No person in frame
2025-05-01 18:39:19,Violation,No face detected
2025-05-01 18:39:19,Violation,No face detected
2025-05-01 18:39:20,Violation,No face detected
2025-05-01 18:39:20,Violation,No face detected
2025-05-01 18:39:20,Violation,No face detected
2025-05-01 18:39:21,Violation,No person in frame
2025-05-01 18:39:21,Violation,No face detected
2025-05-01 18:39:21,Violation,No person in frame
2025-05-01 18:39:21,Violation,No face detected
2025-05-01 18:39:21,Violation,No person in frame
2025-05-01 18:39:21,Violation,No face detected
2025-05-01 18:39:21,Violation,No person in frame
2025-05-01 18:39:21,Violation,No face detected
2025-05-01 18:39:22,Violation,No person in frame
2025-05-01 18:39:22,Violation,No face detected
2025-05-01 18:39:22,Violation,No person in frame
2025-05-01 18:39:22,Violation,No face detected
2025-05-01 18:39:22,Violation,No person in frame
2025-05-01 18:39:22,Violation,No face detected
